,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
0,1,0:00,0:16,8,OL Reign,dribble,1st half,29.6,49.1,1
1,10,0:01,0:21,192,OL Reign,dribble,1st half,64.1,58.2,1
2,14,0:04,0:24,190,Portland Thorns,tackle,1st half,28.3,11.3,0
3,15,0:04,0:24,192,OL Reign,take_on,1st half,76.7,56.7,1
4,16,0:04,0:24,190,Portland Thorns,challenge,1st half,28.3,11.3,0
5,34,0:20,0:40,74,Portland Thorns,challenge,1st half,56.1,29.0,0
6,36,0:20,0:40,233,OL Reign,challenge,1st half,48.9,39.0,1
7,39,0:21,0:41,135,OL Reign,recovery,1st half,44.3,35.9,null
8,40,0:24,0:44,74,Portland Thorns,foul,1st half,70.1,23.9,null
9,80,1:20,1:40,89,Portland Thorns,foul,1st half,21.0,27.5,null
10,86,2:06,2:26,233,OL Reign,recovery,1st half,79.6,36.6,null
11,96,2:08,2:28,74,Portland Thorns,recovery,1st half,18.7,19.9,null
12,100,2:11,2:31,8,OL Reign,recovery,1st half,54.8,48.4,null
13,116,2:52,3:12,16,Portland Thorns,recovery,1st half,47.9,46.9,null
14,118,2:55,3:15,16,Portland Thorns,challenge,1st half,50.2,37.6,1
15,119,2:55,3:15,72,OL Reign,challenge,1st half,54.8,30.4,0
16,123,2:57,3:17,94,Portland Thorns,recovery,1st half,48.3,40.0,null
17,130,2:58,3:18,233,OL Reign,recovery,1st half,49.3,36.2,null
18,167,3:54,4:14,213,Portland Thorns,recovery,1st half,12.0,62.7,null
19,175,4:22,4:42,135,OL Reign,challenge,1st half,53.1,10.8,0
20,176,4:22,4:42,94,Portland Thorns,challenge,1st half,51.9,57.2,1
21,177,4:23,4:43,135,OL Reign,foul,1st half,53.3,11.0,null
22,188,4:57,5:17,16,Portland Thorns,recovery,1st half,63.6,21.8,null
23,210,5:21,5:41,217,Portland Thorns,challenge,1st half,60.5,59.4,1
24,211,5:21,5:41,72,OL Reign,challenge,1st half,44.5,8.6,0
25,216,5:23,5:43,94,Portland Thorns,recovery,1st half,62.2,67.0,null
26,239,6:08,6:28,233,OL Reign,recovery,1st half,50.4,54.8,null
27,243,6:11,6:31,150,Portland Thorns,challenge,1st half,26.5,31.8,1
28,244,6:11,6:31,219,OL Reign,challenge,1st half,78.5,36.2,0
29,250,6:16,6:36,89,Portland Thorns,dribble,1st half,45.2,61.8,1
30,253,6:18,6:38,166,OL Reign,challenge,1st half,48.9,1.4,0
31,255,6:18,6:38,89,Portland Thorns,take_on,1st half,56.1,66.6,1
32,256,6:18,6:38,166,OL Reign,tackle,1st half,48.9,1.4,0
33,258,6:18,6:38,166,OL Reign,foul,1st half,49.1,1.9,null
34,264,7:01,7:21,135,OL Reign,challenge,1st half,17.4,33.3,1
35,266,7:01,7:21,94,Portland Thorns,challenge,1st half,87.6,34.7,0
36,269,7:02,7:22,31,OL Reign,recovery,1st half,16.8,29.2,null
37,276,7:05,7:25,121,Portland Thorns,recovery,1st half,73.1,47.9,null
38,278,7:07,7:27,89,Portland Thorns,dribble,1st half,74.8,57.7,1
39,280,7:08,7:28,166,OL Reign,challenge,1st half,23.7,7.9,0
40,281,7:08,7:28,166,OL Reign,tackle,1st half,23.7,7.9,0
41,283,7:08,7:28,89,Portland Thorns,take_on,1st half,81.3,60.1,1
42,304,7:19,7:39,166,OL Reign,recovery,1st half,8.4,18.9,null
43,315,7:33,7:53,243,OL Reign,save,1st half,14.7,20.1,null
44,321,7:55,8:15,8,OL Reign,challenge,1st half,28.8,63.2,1
45,322,7:55,8:15,74,Portland Thorns,challenge,1st half,76.2,4.8,0
46,323,7:55,8:15,74,Portland Thorns,foul,1st half,77.1,4.5,null
47,353,8:48,9:08,192,OL Reign,foul,1st half,75.2,65.8,null
48,380,9:41,10:01,89,Portland Thorns,challenge,1st half,71.4,23.0,0
49,381,9:41,10:01,172,OL Reign,challenge,1st half,33.6,45.0,1
50,387,9:48,10:08,219,OL Reign,dribble,1st half,48.3,21.3,1
51,390,9:53,10:13,219,OL Reign,challenge,1st half,67.0,33.5,0
52,391,9:53,10:13,16,Portland Thorns,challenge,1st half,38.0,34.5,1
53,392,9:53,10:13,16,Portland Thorns,tackle,1st half,38.0,34.5,1
54,394,9:54,10:14,213,Portland Thorns,recovery,1st half,41.8,34.5,null
55,399,9:57,10:17,74,Portland Thorns,dribble,1st half,46.0,49.3,1
