,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,accuracy
0,82,2:04,2:24,192,OL Reign,Shots,1st half,82.9,43.8,blocked
1,317,7:33,7:53,213,Portland Thorns,Shots,1st half,90.3,47.9,on_target
2,458,11:52,12:12,233,OL Reign,Shots,1st half,86.9,35.9,blocked
3,588,14:56,15:16,192,OL Reign,Shots,1st half,88.6,44.1,blocked
4,624,15:54,16:14,89,Portland Thorns,Shots,1st half,96.4,34.7,blocked
5,646,16:55,17:15,74,Portland Thorns,Shots,1st half,99.5,26.8,on_target
6,657,16:57,17:17,190,Portland Thorns,Shots,1st half,98.3,29.2,blocked
7,671,17:00,17:20,89,Portland Thorns,Shots,1st half,91.1,34.2,post_crossbar
8,940,22:45,23:05,72,OL Reign,Shots,1st half,86.1,48.4,blocked
9,1056,27:49,28:09,192,OL Reign,Shots,1st half,99.5,57.5,post_crossbar
10,1158,30:05,30:25,228,OL Reign,Shots,1st half,98.7,34.0,blocked
11,1174,30:12,30:32,135,OL Reign,Shots,1st half,78.1,26.1,on_target
12,1237,31:55,32:15,228,OL Reign,Shots,1st half,84.6,42.1,on_target
13,1255,32:44,33:04,192,OL Reign,Shots,1st half,96.2,39.7,blocked
14,1294,33:31,33:51,94,Portland Thorns,Shots,1st half,99.1,29.0,wide
15,1390,36:15,36:35,135,OL Reign,Shots,1st half,82.5,22.5,blocked
16,1399,36:17,36:37,228,OL Reign,Shots,1st half,95.8,34.0,on_target
17,1487,37:56,38:16,192,OL Reign,Shots,1st half,101.6,37.1,on_target
18,1723,44:59,45:19,74,Portland Thorns,Shots,1st half,90.9,20.6,blocked
19,1935,48:39,48:59,217,Portland Thorns,Shots,2nd half,89.9,36.9,wide
20,1995,51:17,51:37,192,OL Reign,Shots,2nd half,79.0,24.2,on_target
21,2128,56:58,57:18,192,OL Reign,Shots,2nd half,76.7,39.7,wide
22,2660,71:49,72:09,72,OL Reign,Shots,2nd half,82.9,47.4,blocked
23,3019,79:47,80:07,192,OL Reign,Shots,2nd half,91.6,39.3,wide
24,3109,82:41,83:01,89,Portland Thorns,Shots,2nd half,86.5,34.5,wide
