ID,start,end,code,team,action,half,pos_x,pos_y
1,0,16.54,3. Lauren Kate Barnes,OL Reign,Dribbling,1st half,29.6,49.1
2,0,16.54,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,29.6,49.1
3,0,12.85,10. Jessica Anne Fishlock,OL Reign,Passes accurate,1st half,52.5,34.2
4,0,15.38,6. Alexandra Linsley Long Batista,OL Reign,Positional attacks,1st half,35.5,34.7
5,0,15.38,6. Alexandra Linsley Long Batista,OL Reign,Passes accurate,1st half,35.5,34.7
6,0,12.85,10. Jessica Anne Fishlock,OL Reign,Positional attacks,1st half,52.5,34.2
7,0,14.2,6. Alexandra Linsley Long Batista,OL Reign,Positional attacks,1st half,39.3,31.6
8,0.27,20.27,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,46.4,56.0
9,0.27,20.27,3. Lauren Kate Barnes,OL Reign,Passes accurate,1st half,46.4,56.0
10,1.2,21.2,15. Megan Anna Rapinoe,OL Reign,Dribbling,1st half,64.1,58.2
11,1.2,21.2,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,64.1,58.2
12,2.85,3.85,Start
13,4.56,24.56,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,76.7,56.7
14,4.56,24.56,23. Margaret Purce,Portland Thorns,Tackles (Unsuccessful actions),1st half,28.3,11.3
15,4.56,24.56,15. Megan Anna Rapinoe,OL Reign,Dribbles (Successful actions),1st half,76.7,56.7
16,4.56,24.56,23. Margaret Purce,Portland Thorns,Challenges (lost),1st half,28.3,11.3
17,5.89,25.89,15. Megan Anna Rapinoe,OL Reign,Passes accurate,1st half,71.8,55.3
18,5.89,25.89,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,71.8,55.3
19,8.39,28.39,8. Theresa Eslund,OL Reign,Positional attacks,1st half,80.4,14.8
20,9.84,29.84,8. Theresa Eslund,OL Reign,Positional attacks,1st half,88.6,15.6
21,9.84,29.84,8. Theresa Eslund,OL Reign,Lost balls,1st half,88.6,15.6
22,9.84,29.84,8. Theresa Eslund,OL Reign,Positional attacks,1st half,88.6,15.6
23,9.84,29.84,8. Theresa Eslund,OL Reign,Passes (inaccurate),1st half,88.6,15.6
24,9.84,29.84,8. Theresa Eslund,OL Reign,Passes into the penalty box,1st half,88.6,15.6
25,9.84,29.84,8. Theresa Eslund,OL Reign,Crosses (inaccurate),1st half,88.6,15.6
26,11.44,31.44,24. Adrianna Nichole Franch,Portland Thorns,Positional attacks,1st half,4.0,34.5
27,11.44,31.44,24. Adrianna Nichole Franch,Portland Thorns,Interceptions,1st half,4.0,34.5
28,16.73,36.73,24. Adrianna Nichole Franch,Portland Thorns,Counter-attacks,1st half,12.0,28.5
29,16.73,36.73,24. Adrianna Nichole Franch,Portland Thorns,Passes accurate,1st half,12.0,28.5
30,18.95,38.95,9. Caitlin Jade Foord,Portland Thorns,Counter-attacks,1st half,57.8,33.0
31,18.95,38.95,9. Caitlin Jade Foord,Portland Thorns,Bad ball control,1st half,57.8,33.0
32,20.39,40.39,9. Caitlin Jade Foord,Portland Thorns,Lost balls,1st half,56.1,29.0
33,20.39,40.39,20. Rumi Utsugi,OL Reign,Counter-attacks,1st half,48.9,39.0
34,20.39,40.39,9. Caitlin Jade Foord,Portland Thorns,Challenges (lost),1st half,56.1,29
35,20.39,40.39,9. Caitlin Jade Foord,Portland Thorns,Air challenges (lost),1st half,56.1,29
36,20.39,40.39,20. Rumi Utsugi,OL Reign,Challenges (won),1st half,48.9,39.0
37,20.39,40.39,20. Rumi Utsugi,OL Reign,Air challenges (won),1st half,48.9,39.0
38,21.83,41.83,6. Alexandra Linsley Long Batista,OL Reign,Counter-attacks,1st half,44.3,35.9
39,21.83,41.83,6. Alexandra Linsley Long Batista,OL Reign,Picking-ups,1st half,44.3,35.9
40,24.49,44.49,9. Caitlin Jade Foord,Portland Thorns,Fouls,1st half,70.1,23.9
41,24.49,44.49,9. Caitlin Jade Foord,Portland Thorns,Counter-attacks,1st half,70.1,23.9
42,44.84,64.84,3. Lauren Kate Barnes,OL Reign,Passes accurate,1st half,34.9,47.4
43,44.84,64.84,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,34.9,47.4
44,47.71,67.71,4. Megan Leigh Oyster,OL Reign,Positional attacks,1st half,32.1,13.6
45,48.74,68.74,4. Megan Leigh Oyster,OL Reign,Positional attacks,1st half,28.8,15.8
46,48.74,68.74,4. Megan Leigh Oyster,OL Reign,Passes accurate,1st half,28.8,15.8
47,50.56,70.56,1. Lydia Grace Yilkari Williams,OL Reign,Positional attacks,1st half,18.1,34.5
48,51.41,71.41,1. Lydia Grace Yilkari Williams,OL Reign,Passes accurate,1st half,19.3,36.9
49,51.41,71.41,1. Lydia Grace Yilkari Williams,OL Reign,Positional attacks,1st half,19.3,36.9
50,53.16,73.16,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,28.1,50.5
51,54.7,74.7,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,32.3,52.4
52,54.7,74.7,3. Lauren Kate Barnes,OL Reign,Passes accurate,1st half,32.3,52.4
53,55.61,75.61,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,41.4,47.4
54,55.61,75.61,20. Rumi Utsugi,OL Reign,Passes accurate,1st half,41.4,47.4
55,56.7,76.7,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,33.8,58.9
56,59.16,79.16,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,38.4,62.7
57,59.16,79.16,3. Lauren Kate Barnes,OL Reign,Passes (inaccurate),1st half,38.4,62.7
58,63.31,83.31,16. Emily Ann Sonnett,Portland Thorns,Positional attacks,1st half,13.6,4.8
59,63.31,83.31,16. Emily Ann Sonnett,Portland Thorns,Interceptions,1st half,13.6,4.8
60,63.31,83.31,16. Emily Ann Sonnett,Portland Thorns,Positional attacks,1st half,13.6,4.8
61,70.68,90.68,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,91.6,68.0
