ID,start_time,end_time,player_ID,team_ID,action,half,pos_x,pos_y
20180915-RGN-POR-0,0:00,0:16,Lauren Kate Barnes,RGN,Dribbling,1st half,29.6,49.1
20180915-RGN-POR-1,0:00,0:16,Lauren Kate Barnes,RGN,Positional attacks,1st half,29.6,49.1
20180915-RGN-POR-2,0:00,0:12,Jessica Anne Fishlock,RGN,Passes accurate,1st half,52.5,34.2
20180915-RGN-POR-3,0:00,0:15,Alexandra Linsley Long Batista,RGN,Positional attacks,1st half,35.5,34.7
20180915-RGN-POR-4,0:00,0:15,Alexandra Linsley Long Batista,RGN,Passes accurate,1st half,35.5,34.7
20180915-RGN-POR-5,0:00,0:12,Jessica Anne Fishlock,RGN,Positional attacks,1st half,52.5,34.2
20180915-RGN-POR-6,0:00,0:14,Alexandra Linsley Long Batista,RGN,Positional attacks,1st half,39.3,31.6
20180915-RGN-POR-7,0:00,0:20,Lauren Kate Barnes,RGN,Positional attacks,1st half,46.4,56.0
20180915-RGN-POR-8,0:00,0:20,Lauren Kate Barnes,RGN,Passes accurate,1st half,46.4,56.0
20180915-RGN-POR-9,0:01,0:21,Megan Anna Rapinoe,RGN,Dribbling,1st half,64.1,58.2
20180915-RGN-POR-10,0:01,0:21,Megan Anna Rapinoe,RGN,Positional attacks,1st half,64.1,58.2
20180915-RGN-POR-12,0:04,0:24,Megan Anna Rapinoe,RGN,Positional attacks,1st half,76.7,56.7
20180915-RGN-POR-13,0:04,0:24,Margaret Purce,POR,Tackles (Unsuccessful actions),1st half,28.3,11.3
20180915-RGN-POR-14,0:04,0:24,Megan Anna Rapinoe,RGN,Dribbles (Successful actions),1st half,76.7,56.7
20180915-RGN-POR-15,0:04,0:24,Margaret Purce,POR,Challenges (lost),1st half,28.3,11.3
20180915-RGN-POR-16,0:05,0:25,Megan Anna Rapinoe,RGN,Passes accurate,1st half,71.8,55.3
20180915-RGN-POR-17,0:05,0:25,Megan Anna Rapinoe,RGN,Positional attacks,1st half,71.8,55.3
20180915-RGN-POR-18,0:08,0:28,Theresa Eslund,RGN,Positional attacks,1st half,80.4,14.8
20180915-RGN-POR-19,0:09,0:29,Theresa Eslund,RGN,Positional attacks,1st half,88.6,15.6
20180915-RGN-POR-20,0:09,0:29,Theresa Eslund,RGN,Lost balls,1st half,88.6,15.6
20180915-RGN-POR-21,0:09,0:29,Theresa Eslund,RGN,Positional attacks,1st half,88.6,15.6
20180915-RGN-POR-22,0:09,0:29,Theresa Eslund,RGN,Passes (inaccurate),1st half,88.6,15.6
20180915-RGN-POR-23,0:09,0:29,Theresa Eslund,RGN,Passes into the penalty box,1st half,88.6,15.6
20180915-RGN-POR-24,0:09,0:29,Theresa Eslund,RGN,Crosses (inaccurate),1st half,88.6,15.6
20180915-RGN-POR-25,0:11,0:31,Adrianna Nichole Franch,POR,Positional attacks,1st half,4.0,34.5
20180915-RGN-POR-26,0:11,0:31,Adrianna Nichole Franch,POR,Interceptions,1st half,4.0,34.5
20180915-RGN-POR-27,0:16,0:36,Adrianna Nichole Franch,POR,Counter-attacks,1st half,12.0,28.5
20180915-RGN-POR-28,0:16,0:36,Adrianna Nichole Franch,POR,Passes accurate,1st half,12.0,28.5
20180915-RGN-POR-29,0:18,0:38,Caitlin Jade Foord,POR,Counter-attacks,1st half,57.8,33.0
20180915-RGN-POR-30,0:18,0:38,Caitlin Jade Foord,POR,Bad ball control,1st half,57.8,33.0
20180915-RGN-POR-31,0:20,0:40,Caitlin Jade Foord,POR,Lost balls,1st half,56.1,29.0
20180915-RGN-POR-32,0:20,0:40,Rumi Utsugi,RGN,Counter-attacks,1st half,48.9,39.0
20180915-RGN-POR-33,0:20,0:40,Caitlin Jade Foord,POR,Challenges (lost),1st half,56.1,29.0
20180915-RGN-POR-34,0:20,0:40,Caitlin Jade Foord,POR,Air challenges (lost),1st half,56.1,29.0
