ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20180915-RGN-POR-0,20180915-RGN-POR-0,0:00,0:16,Lauren Kate Barnes,RGN,dribble,1st half,1,29.6,49.1
20180915-RGN-POR-1,20180915-RGN-POR-9,0:01,0:21,Megan Anna Rapinoe,RGN,dribble,1st half,1,64.1,58.2
20180915-RGN-POR-2,20180915-RGN-POR-13,0:04,0:24,Margaret Purce,POR,tackle,1st half,0,28.3,11.3
20180915-RGN-POR-3,20180915-RGN-POR-14,0:04,0:24,Megan Anna Rapinoe,RGN,take_on,1st half,1,76.7,56.7
20180915-RGN-POR-4,20180915-RGN-POR-15,0:04,0:24,Margaret Purce,POR,challenge,1st half,0,28.3,11.3
20180915-RGN-POR-5,20180915-RGN-POR-33,0:20,0:40,Caitlin Jade Foord,POR,challenge,1st half,0,56.1,29.0
20180915-RGN-POR-6,20180915-RGN-POR-35,0:20,0:40,Rumi Utsugi,RGN,challenge,1st half,1,48.9,39.0
20180915-RGN-POR-7,20180915-RGN-POR-38,0:21,0:41,Alexandra Linsley Long Batista,RGN,recovery,1st half,null,44.3,35.9
20180915-RGN-POR-8,20180915-RGN-POR-39,0:24,0:44,Caitlin Jade Foord,POR,foul,1st half,null,70.1,23.9
20180915-RGN-POR-9,20180915-RGN-POR-79,1:20,1:40,Tobin Powell Powell Heath,POR,foul,1st half,null,21.0,27.5
20180915-RGN-POR-10,20180915-RGN-POR-85,2:06,2:26,Rumi Utsugi,RGN,recovery,1st half,null,79.6,36.6
20180915-RGN-POR-11,20180915-RGN-POR-95,2:08,2:28,Caitlin Jade Foord,POR,recovery,1st half,null,18.7,19.9
20180915-RGN-POR-12,20180915-RGN-POR-99,2:11,2:31,Lauren Kate Barnes,RGN,recovery,1st half,null,54.8,48.4
20180915-RGN-POR-13,20180915-RGN-POR-115,2:52,3:12,Celeste Anais Boureille,POR,recovery,1st half,null,47.9,46.9
20180915-RGN-POR-14,20180915-RGN-POR-117,2:55,3:15,Celeste Anais Boureille,POR,challenge,1st half,1,50.2,37.6
20180915-RGN-POR-15,20180915-RGN-POR-118,2:55,3:15,Jessica Anne Fishlock,RGN,challenge,1st half,0,54.8,30.4
20180915-RGN-POR-16,20180915-RGN-POR-122,2:57,3:17,Lindsey Michelle Horan,POR,recovery,1st half,null,48.3,40.0
20180915-RGN-POR-17,20180915-RGN-POR-129,2:58,3:18,Rumi Utsugi,RGN,recovery,1st half,null,49.3,36.2
20180915-RGN-POR-18,20180915-RGN-POR-166,3:54,4:14,Christine Margaret Sinclair,POR,recovery,1st half,null,12.0,62.7
20180915-RGN-POR-19,20180915-RGN-POR-174,4:22,4:42,Alexandra Linsley Long Batista,RGN,challenge,1st half,0,53.1,10.8
20180915-RGN-POR-20,20180915-RGN-POR-175,4:22,4:42,Lindsey Michelle Horan,POR,challenge,1st half,1,51.9,57.2
20180915-RGN-POR-21,20180915-RGN-POR-176,4:23,4:43,Alexandra Linsley Long Batista,RGN,foul,1st half,null,53.3,11.0
20180915-RGN-POR-22,20180915-RGN-POR-187,4:57,5:17,Celeste Anais Boureille,POR,recovery,1st half,null,63.6,21.8
20180915-RGN-POR-23,20180915-RGN-POR-209,5:21,5:41,Emily Ann Sonnett,POR,challenge,1st half,1,60.5,59.4
20180915-RGN-POR-24,20180915-RGN-POR-210,5:21,5:41,Jessica Anne Fishlock,RGN,challenge,1st half,0,44.5,8.6
20180915-RGN-POR-25,20180915-RGN-POR-215,5:23,5:43,Lindsey Michelle Horan,POR,recovery,1st half,null,62.2,67.0
20180915-RGN-POR-26,20180915-RGN-POR-238,6:08,6:28,Rumi Utsugi,RGN,recovery,1st half,null,50.4,54.8
20180915-RGN-POR-27,20180915-RGN-POR-242,6:11,6:31,Emily Townsend Menges,POR,challenge,1st half,1,26.5,31.8
20180915-RGN-POR-28,20180915-RGN-POR-243,6:11,6:31,Jasmyne Spencer,RGN,challenge,1st half,0,78.5,36.2
20180915-RGN-POR-29,20180915-RGN-POR-249,6:16,6:36,Tobin Powell Powell Heath,POR,dribble,1st half,1,45.2,61.8
20180915-RGN-POR-30,20180915-RGN-POR-252,6:18,6:38,Theresa Eslund,RGN,challenge,1st half,0,48.9,1.4
20180915-RGN-POR-31,20180915-RGN-POR-254,6:18,6:38,Tobin Powell Powell Heath,POR,take_on,1st half,1,56.1,66.6
20180915-RGN-POR-32,20180915-RGN-POR-255,6:18,6:38,Theresa Eslund,RGN,tackle,1st half,0,48.9,1.4
20180915-RGN-POR-33,20180915-RGN-POR-257,6:18,6:38,Theresa Eslund,RGN,foul,1st half,null,49.1,1.9
20180915-RGN-POR-34,20180915-RGN-POR-263,7:01,7:21,Alexandra Linsley Long Batista,RGN,challenge,1st half,1,17.4,33.3
20180915-RGN-POR-35,20180915-RGN-POR-265,7:01,7:21,Lindsey Michelle Horan,POR,challenge,1st half,0,87.6,34.7
20180915-RGN-POR-36,20180915-RGN-POR-268,7:02,7:22,Stephanie-Elise Catley,RGN,recovery,1st half,null,16.8,29.2
20180915-RGN-POR-37,20180915-RGN-POR-275,7:05,7:25,Meghan Elizabeth Klingenberg,POR,recovery,1st half,null,73.1,47.9
20180915-RGN-POR-38,20180915-RGN-POR-277,7:07,7:27,Tobin Powell Powell Heath,POR,dribble,1st half,1,74.8,57.7
20180915-RGN-POR-39,20180915-RGN-POR-279,7:08,7:28,Theresa Eslund,RGN,challenge,1st half,0,23.7,7.9
