ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,pos_x,pos_y,accuracy
20180915-RGN-POR-0,20180915-RGN-POR-81,2:04,2:24,Megan Anna Rapinoe,RGN,1st half,82.9,43.8,blocked
20180915-RGN-POR-1,20180915-RGN-POR-316,7:33,7:53,Christine Margaret Sinclair,POR,1st half,90.3,47.9,on_target
20180915-RGN-POR-2,20180915-RGN-POR-457,11:52,12:12,Rumi Utsugi,RGN,1st half,86.9,35.9,blocked
20180915-RGN-POR-3,20180915-RGN-POR-587,14:56,15:16,Megan Anna Rapinoe,RGN,1st half,88.6,44.1,blocked
20180915-RGN-POR-4,20180915-RGN-POR-623,15:54,16:14,Tobin Powell Powell Heath,POR,1st half,96.4,34.7,blocked
20180915-RGN-POR-5,20180915-RGN-POR-645,16:55,17:15,Caitlin Jade Foord,POR,1st half,99.5,26.8,on_target
20180915-RGN-POR-6,20180915-RGN-POR-656,16:57,17:17,Margaret Purce,POR,1st half,98.3,29.2,blocked
20180915-RGN-POR-7,20180915-RGN-POR-670,17:00,17:20,Tobin Powell Powell Heath,POR,1st half,91.1,34.2,post_crossbar
20180915-RGN-POR-8,20180915-RGN-POR-939,22:45,23:05,Jessica Anne Fishlock,RGN,1st half,86.1,48.4,blocked
20180915-RGN-POR-9,20180915-RGN-POR-1051,27:36,28:26,Jasmyne Spencer,RGN,1st half,101.6,28.0,on_target
20180915-RGN-POR-10,20180915-RGN-POR-1055,27:49,28:09,Megan Anna Rapinoe,RGN,1st half,99.5,57.5,post_crossbar
20180915-RGN-POR-11,20180915-RGN-POR-1157,30:05,30:25,Jodie Lee Taylor,RGN,1st half,98.7,34.0,blocked
20180915-RGN-POR-12,20180915-RGN-POR-1173,30:12,30:32,Alexandra Linsley Long Batista,RGN,1st half,78.1,26.1,on_target
20180915-RGN-POR-13,20180915-RGN-POR-1236,31:55,32:15,Jodie Lee Taylor,RGN,1st half,84.6,42.1,on_target
20180915-RGN-POR-14,20180915-RGN-POR-1254,32:44,33:04,Megan Anna Rapinoe,RGN,1st half,96.2,39.7,blocked
20180915-RGN-POR-15,20180915-RGN-POR-1293,33:31,33:51,Lindsey Michelle Horan,POR,1st half,99.1,29.0,wide
20180915-RGN-POR-16,20180915-RGN-POR-1389,36:15,36:35,Alexandra Linsley Long Batista,RGN,1st half,82.5,22.5,blocked
20180915-RGN-POR-17,20180915-RGN-POR-1398,36:17,36:37,Jodie Lee Taylor,RGN,1st half,95.8,34.0,on_target
20180915-RGN-POR-18,20180915-RGN-POR-1486,37:56,38:16,Megan Anna Rapinoe,RGN,1st half,101.6,37.1,on_target
20180915-RGN-POR-19,20180915-RGN-POR-1645,42:30,43:20,Tobin Powell Powell Heath,POR,1st half,100.8,41.7,on_target
20180915-RGN-POR-20,20180915-RGN-POR-1722,44:59,45:19,Caitlin Jade Foord,POR,1st half,90.9,20.6,blocked
20180915-RGN-POR-21,20180915-RGN-POR-1934,48:39,48:59,Emily Ann Sonnett,POR,2nd half,89.9,36.9,wide
20180915-RGN-POR-22,20180915-RGN-POR-1994,51:17,51:37,Megan Anna Rapinoe,RGN,2nd half,79.0,24.2,on_target
20180915-RGN-POR-23,20180915-RGN-POR-2127,56:58,57:18,Megan Anna Rapinoe,RGN,2nd half,76.7,39.7,wide
20180915-RGN-POR-24,20180915-RGN-POR-2659,71:49,72:09,Jessica Anne Fishlock,RGN,2nd half,82.9,47.4,blocked
20180915-RGN-POR-25,20180915-RGN-POR-2828,75:37,76:27,Lindsey Michelle Horan,POR,2nd half,96.6,35.7,on_target
20180915-RGN-POR-26,20180915-RGN-POR-3018,79:47,80:07,Megan Anna Rapinoe,RGN,2nd half,91.6,39.3,wide
20180915-RGN-POR-27,20180915-RGN-POR-3108,82:41,83:01,Tobin Powell Powell Heath,POR,2nd half,86.5,34.5,wide
