ID,start_time,end_time,player_ID,team_ID,action,half,pos_x,pos_y
20190719-POR-UTA-0,0:00,0:19,Ellie Madison Carpenter,POR,Passes accurate,1st half,29.8,2.2
20190719-POR-UTA-1,0:00,0:16,Elizabeth Rose Ball,POR,Counter-attacks,1st half,21.4,19.9
20190719-POR-UTA-2,0:00,0:19,Ellie Madison Carpenter,POR,Counter-attacks,1st half,29.8,2.2
20190719-POR-UTA-3,0:00,0:11,Gunnhildur Yrsa Jonsdottir,UTA,Passes accurate,1st half,52.7,34.3
20190719-POR-UTA-4,0:00,0:13,Lo'eau LaBonta,UTA,Lost balls,1st half,83.7,48.1
20190719-POR-UTA-5,0:00,0:16,Elizabeth Rose Ball,POR,Passes accurate,1st half,21.4,19.9
20190719-POR-UTA-6,0:00,0:16,Elizabeth Rose Ball,POR,Positional attacks,1st half,21.4,19.9
20190719-POR-UTA-7,0:00,0:11,Gunnhildur Yrsa Jonsdottir,UTA,Positional attacks,1st half,52.7,34.3
20190719-POR-UTA-8,0:00,0:12,Lo'eau LaBonta,UTA,Positional attacks,1st half,44.5,36.5
20190719-POR-UTA-9,0:00,0:13,Lo'eau LaBonta,UTA,Passes (inaccurate),1st half,48.5,36.1
20190719-POR-UTA-10,0:00,0:16,Elizabeth Rose Ball,POR,Picking-ups,1st half,21.4,19.9
20190719-POR-UTA-11,0:00,0:13,Lo'eau LaBonta,UTA,Positional attacks,1st half,48.5,36.1
20190719-POR-UTA-13,0:01,0:21,Becky Sauerbrunn,UTA,Counter-attacks,1st half,46.9,62.0
20190719-POR-UTA-14,0:01,0:21,Becky Sauerbrunn,UTA,Counter-attacks,1st half,46.9,62.0
20190719-POR-UTA-15,0:01,0:21,Becky Sauerbrunn,UTA,Passes (inaccurate),1st half,46.9,62.0
20190719-POR-UTA-16,0:01,0:21,Margaret Purce,POR,Challenges (lost),1st half,58.1,6.0
20190719-POR-UTA-17,0:01,0:21,Becky Sauerbrunn,UTA,Challenges (won),1st half,46.9,62.0
20190719-POR-UTA-18,0:02,0:22,Hayley Emma Raso,POR,Counter-attacks,1st half,54.1,6.4
20190719-POR-UTA-19,0:02,0:22,Hayley Emma Raso,POR,Interceptions,1st half,54.1,6.4
20190719-POR-UTA-20,0:02,0:22,Hayley Emma Raso,POR,Interceptions (in opp. half),1st half,54.1,6.4
20190719-POR-UTA-21,0:02,0:22,Hayley Emma Raso,POR,Lost balls,1st half,54.1,6.4
