ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20190719-POR-UTA-0,20190719-POR-UTA-10,0:00,0:16,Elizabeth Rose Ball,POR,recovery,1st half,null,21.4,19.9
20190719-POR-UTA-1,20190719-POR-UTA-16,0:01,0:21,Margaret Purce,POR,challenge,1st half,0,58.1,6.0
20190719-POR-UTA-2,20190719-POR-UTA-17,0:01,0:21,Becky Sauerbrunn,UTA,challenge,1st half,1,46.9,62.0
20190719-POR-UTA-3,20190719-POR-UTA-23,0:04,0:24,Rachel Louise Corsie,UTA,recovery,1st half,null,38.2,42.1
20190719-POR-UTA-4,20190719-POR-UTA-30,0:10,0:30,Ellie Madison Carpenter,POR,recovery,1st half,null,23.6,23.5
20190719-POR-UTA-5,20190719-POR-UTA-46,0:21,0:41,Adrianna Nichole Franch,POR,recovery,1st half,null,4.4,35.7
20190719-POR-UTA-6,20190719-POR-UTA-49,0:29,0:49,Rachel Louise Corsie,UTA,recovery,1st half,null,39.4,20.7
20190719-POR-UTA-7,20190719-POR-UTA-68,0:44,1:04,Gunnhildur Yrsa Jonsdottir,UTA,recovery,1st half,null,55.5,1.8
20190719-POR-UTA-8,20190719-POR-UTA-98,1:27,1:47,Rachel Louise Corsie,UTA,recovery,1st half,null,22.2,48.3
20190719-POR-UTA-9,20190719-POR-UTA-106,1:32,1:52,Christine Margaret Sinclair,POR,challenge,1st half,0,66.5,42.7
20190719-POR-UTA-10,20190719-POR-UTA-107,1:32,1:52,Christine Margaret Sinclair,POR,take_on,1st half,0,66.5,42.7
20190719-POR-UTA-11,20190719-POR-UTA-108,1:32,1:52,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,1,38.5,25.3
20190719-POR-UTA-12,20190719-POR-UTA-109,1:32,1:52,Gunnhildur Yrsa Jonsdottir,UTA,tackle,1st half,1,38.5,25.3
20190719-POR-UTA-13,20190719-POR-UTA-114,1:50,2:10,Christine Margaret Sinclair,POR,take_on,1st half,1,77.2,53.0
20190719-POR-UTA-14,20190719-POR-UTA-115,1:50,2:10,Lo'eau LaBonta,UTA,tackle,1st half,0,27.8,15.0
20190719-POR-UTA-15,20190719-POR-UTA-116,1:50,2:10,Lo'eau LaBonta,UTA,challenge,1st half,0,27.8,15.0
20190719-POR-UTA-16,20190719-POR-UTA-126,1:59,2:19,Mandy Laddish,UTA,recovery,1st half,null,28.0,27.3
20190719-POR-UTA-17,20190719-POR-UTA-129,2:04,2:24,Hayley Emma Raso,POR,challenge,1st half,1,86.6,47.5
20190719-POR-UTA-18,20190719-POR-UTA-130,2:04,2:24,Hayley Emma Raso,POR,tackle,1st half,1,86.6,47.5
20190719-POR-UTA-19,20190719-POR-UTA-131,2:04,2:24,Rachel Louise Corsie,UTA,challenge,1st half,0,18.4,20.5
20190719-POR-UTA-20,20190719-POR-UTA-132,2:07,2:27,Becky Sauerbrunn,UTA,recovery,1st half,null,13.8,34.5
20190719-POR-UTA-21,20190719-POR-UTA-133,2:07,2:27,Margaret Purce,POR,challenge,1st half,0,91.3,32.1
20190719-POR-UTA-22,20190719-POR-UTA-134,2:07,2:27,Becky Sauerbrunn,UTA,challenge,1st half,1,13.7,35.9
20190719-POR-UTA-23,20190719-POR-UTA-138,2:14,2:34,Ellie Madison Carpenter,POR,recovery,1st half,null,80.0,6.8
20190719-POR-UTA-24,20190719-POR-UTA-143,2:24,2:44,Kelley Maureen O'Hara,UTA,dribble,1st half,1,26.2,65.0
20190719-POR-UTA-25,20190719-POR-UTA-149,2:29,2:49,Meghan Elizabeth Klingenberg,POR,recovery,1st half,null,55.0,39.1
20190719-POR-UTA-26,20190719-POR-UTA-153,2:34,2:54,Nicole Renee Barnhart,UTA,recovery,1st half,null,9.1,24.5
20190719-POR-UTA-27,20190719-POR-UTA-163,3:08,3:28,Christen Annemarie Press,UTA,challenge,1st half,0,45.5,56.8
20190719-POR-UTA-28,20190719-POR-UTA-164,3:08,3:28,Elizabeth Rose Ball,POR,challenge,1st half,1,59.5,11.2
20190719-POR-UTA-29,20190719-POR-UTA-165,3:08,3:28,Christen Annemarie Press,UTA,take_on,1st half,0,45.5,56.8
20190719-POR-UTA-30,20190719-POR-UTA-166,3:08,3:28,Elizabeth Rose Ball,POR,tackle,1st half,1,59.5,11.2
20190719-POR-UTA-31,20190719-POR-UTA-169,3:10,3:30,Christine Margaret Sinclair,POR,recovery,1st half,null,61.6,24.7
20190719-POR-UTA-32,20190719-POR-UTA-172,3:13,3:33,Becky Sauerbrunn,UTA,challenge,1st half,0,29.6,45.9
20190719-POR-UTA-33,20190719-POR-UTA-173,3:13,3:33,Margaret Purce,POR,challenge,1st half,1,75.4,22.1
20190719-POR-UTA-34,20190719-POR-UTA-178,3:14,3:34,Kelley Maureen O'Hara,UTA,recovery,1st half,null,30.8,54.2
20190719-POR-UTA-35,20190719-POR-UTA-183,3:16,3:36,Gabrielle Seiler,POR,recovery,1st half,null,70.0,10.6
20190719-POR-UTA-36,20190719-POR-UTA-201,3:33,3:53,Kelley Maureen O'Hara,UTA,tackle,1st half,0,30.6,63.4
20190719-POR-UTA-37,20190719-POR-UTA-202,3:33,3:53,Kelley Maureen O'Hara,UTA,challenge,1st half,0,30.6,63.4
20190719-POR-UTA-38,20190719-POR-UTA-203,3:33,3:53,Ellie Madison Carpenter,POR,take_on,1st half,1,74.4,4.6
20190719-POR-UTA-39,20190719-POR-UTA-219,4:43,5:03,Amy Joy Rodriguez Shilling,UTA,challenge,1st half,0,67.2,33.1
20190719-POR-UTA-40,20190719-POR-UTA-220,4:43,5:03,Gabrielle Seiler,POR,challenge,1st half,1,37.8,34.9
20190719-POR-UTA-41,20190719-POR-UTA-250,4:58,5:18,Lindsey Michelle Horan,POR,challenge,1st half,0,43.2,47.3
20190719-POR-UTA-42,20190719-POR-UTA-251,4:58,5:18,Amy Joy Rodriguez Shilling,UTA,challenge,1st half,1,61.8,20.7
20190719-POR-UTA-43,20190719-POR-UTA-264,7:23,7:43,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,0,49.9,35.1
20190719-POR-UTA-44,20190719-POR-UTA-265,7:23,7:43,Lindsey Michelle Horan,POR,challenge,1st half,1,55.1,32.9
20190719-POR-UTA-45,20190719-POR-UTA-282,7:39,7:59,Ellie Madison Carpenter,POR,dribble,1st half,1,90.5,1.8
20190719-POR-UTA-46,20190719-POR-UTA-297,7:56,8:16,Becky Sauerbrunn,UTA,challenge,1st half,0,18.4,53.0
20190719-POR-UTA-47,20190719-POR-UTA-299,7:56,8:16,Hayley Emma Raso,POR,challenge,1st half,1,86.6,15.0
20190719-POR-UTA-48,20190719-POR-UTA-314,8:08,8:28,Hayley Emma Raso,POR,recovery,1st half,null,90.5,11.2
20190719-POR-UTA-49,20190719-POR-UTA-317,8:08,8:28,Becky Sauerbrunn,UTA,tackle,1st half,0,14.9,56.2
