ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross
20190719-POR-UTA-0,20190719-POR-UTA-0,0:00,0:19,Ellie Madison Carpenter,POR,1st half,29.8,2.2,1,Elizabeth Rose Ball,21.4,19.9,0
20190719-POR-UTA-1,20190719-POR-UTA-3,0:00,0:11,Gunnhildur Yrsa Jonsdottir,UTA,1st half,52.7,34.3,1,Lo'eau LaBonta,83.7,48.1,0
20190719-POR-UTA-2,20190719-POR-UTA-5,0:00,0:16,Elizabeth Rose Ball,POR,1st half,21.4,19.9,1,Margaret Purce,58.1,6.0,0
20190719-POR-UTA-3,20190719-POR-UTA-9,0:00,0:13,Lo'eau LaBonta,UTA,1st half,48.5,36.1,0,Elizabeth Rose Ball,83.6,48.1,0
20190719-POR-UTA-4,20190719-POR-UTA-15,0:01,0:21,Becky Sauerbrunn,UTA,1st half,46.9,62.0,0,Margaret Purce,46.9,62.0,0
20190719-POR-UTA-5,20190719-POR-UTA-24,0:04,0:24,Rachel Louise Corsie,UTA,1st half,35.5,41.5,1,Kate Elizabeth Bowen,37.4,19.9,0
20190719-POR-UTA-6,20190719-POR-UTA-28,0:08,0:28,Kate Elizabeth Bowen,UTA,1st half,45.3,19.9,0,Ellie Madison Carpenter,81.4,44.5,0
20190719-POR-UTA-7,20190719-POR-UTA-29,0:10,0:30,Ellie Madison Carpenter,POR,1st half,23.6,23.5,0,Amy Joy Rodriguez Shilling,26.8,32.7,0
20190719-POR-UTA-8,20190719-POR-UTA-36,0:16,0:36,Amy Joy Rodriguez Shilling,UTA,1st half,75.1,42.9,1,Lo'eau LaBonta,70.2,48.7,0
20190719-POR-UTA-9,20190719-POR-UTA-43,0:19,0:39,Lo'eau LaBonta,UTA,1st half,73.8,40.9,0,Adrianna Nichole Franch,100.6,32.3,0
20190719-POR-UTA-10,20190719-POR-UTA-48,0:26,0:46,Adrianna Nichole Franch,POR,1st half,13.5,30.9,0,Rachel Louise Corsie,65.6,47.3,0
20190719-POR-UTA-11,20190719-POR-UTA-51,0:30,0:50,Rachel Louise Corsie,UTA,1st half,40.6,17.7,1,Kate Elizabeth Bowen,39.7,12.4,0
