ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,pos_x,pos_y,accuracy
20190719-POR-UTA-0,20190719-POR-UTA-321,8:09,8:59,Christine Margaret Sinclair,POR,1st half,82.9,25.5,on_target
20190719-POR-UTA-1,20190719-POR-UTA-619,15:10,15:30,Amy Joy Rodriguez Shilling,UTA,1st half,95.4,29.0,wide
20190719-POR-UTA-2,20190719-POR-UTA-1304,34:11,34:31,Kelley Maureen O'Hara,UTA,1st half,85.8,47.7,wide
20190719-POR-UTA-3,20190719-POR-UTA-1370,35:33,35:53,Amy Joy Rodriguez Shilling,UTA,1st half,91.3,45.9,on_target
20190719-POR-UTA-4,20190719-POR-UTA-1648,41:34,41:54,Ellie Madison Carpenter,POR,1st half,95.4,19.9,on_target
20190719-POR-UTA-5,20190719-POR-UTA-1653,41:49,42:39,Christen Annemarie Press,UTA,1st half,101.5,47.9,on_target
20190719-POR-UTA-6,20190719-POR-UTA-2023,45:35,45:55,Amy Joy Rodriguez Shilling,UTA,2nd half,93.8,20.7,on_target
20190719-POR-UTA-7,20190719-POR-UTA-2539,58:03,58:23,Katherine Nicole Stengel,UTA,2nd half,93.8,27.6,on_target
20190719-POR-UTA-8,20190719-POR-UTA-2685,63:10,63:30,Katherine Nicole Stengel,UTA,2nd half,96.9,26.8,blocked
20190719-POR-UTA-9,20190719-POR-UTA-3612,86:18,86:38,Lindsey Michelle Horan,POR,2nd half,92.6,38.3,blocked
20190719-POR-UTA-10,20190719-POR-UTA-3663,89:25,90:15,Rachel Louise Corsie,UTA,2nd half,97.8,26.8,on_target
20190719-POR-UTA-11,20190719-POR-UTA-3776,91:58,92:18,Amy Joy Rodriguez Shilling,UTA,2nd half,99.8,24.7,on_target
20190719-POR-UTA-12,20190719-POR-UTA-3858,93:18,93:38,Katherine Nicole Stengel,UTA,2nd half,91.3,35.4,on_target
20190719-POR-UTA-13,20190719-POR-UTA-3868,93:31,93:51,Kelley Maureen O'Hara,UTA,2nd half,82.1,53.0,wide
