ID,start_time,end_time,player_ID,team_ID,action,half,pos_x,pos_y
20200722-NJ-CHI-0,0:05,0:25,Savannah McCaskill,CHI,Positional attacks,1st half,52.6,33.9
20200722-NJ-CHI-1,0:05,0:25,Savannah McCaskill,CHI,Passes accurate,1st half,52.6,33.9
20200722-NJ-CHI-2,0:06,0:26,Danielle Colaprico,CHI,Positional attacks,1st half,46.0,40.4
20200722-NJ-CHI-3,0:07,0:27,Danielle Colaprico,CHI,Positional attacks,1st half,45.8,41.2
20200722-NJ-CHI-4,0:07,0:27,Danielle Colaprico,CHI,Passes accurate,1st half,45.8,41.2
20200722-NJ-CHI-5,0:09,0:29,Sarah Gorden,CHI,Positional attacks,1st half,30.9,44.3
20200722-NJ-CHI-6,0:10,0:30,Sarah Gorden,CHI,Positional attacks,1st half,31.2,44.0
20200722-NJ-CHI-7,0:10,0:30,Sarah Gorden,CHI,Passes accurate,1st half,31.2,44.0
20200722-NJ-CHI-8,0:11,0:31,Danielle Colaprico,CHI,Positional attacks,1st half,42.3,45.8
20200722-NJ-CHI-9,0:12,0:32,Danielle Colaprico,CHI,Positional attacks,1st half,42.5,47.0
20200722-NJ-CHI-10,0:12,0:32,Danielle Colaprico,CHI,Lost balls (in opp. half),1st half,42.5,47.0
20200722-NJ-CHI-11,0:12,0:32,Danielle Colaprico,CHI,Lost balls,1st half,42.5,47.0
20200722-NJ-CHI-12,0:12,0:32,Danielle Colaprico,CHI,Challenges (lost),1st half,42.5,47.0
20200722-NJ-CHI-13,0:12,0:32,Danielle Colaprico,CHI,Dribbles (Unsuccessful actions),1st half,42.5,47.0
20200722-NJ-CHI-14,0:12,0:32,Paige Monaghan,NJ,Tackles (Successful actions),1st half,62.5,21.0
20200722-NJ-CHI-15,0:12,0:32,Paige Monaghan,NJ,Challenges (won),1st half,62.5,21.0
20200722-NJ-CHI-16,0:13,0:33,McCall RaNae Zerboni,NJ,Counter-attacks,1st half,62.1,18.1
20200722-NJ-CHI-17,0:13,0:33,McCall RaNae Zerboni,NJ,Picking-ups,1st half,62.1,18.1
20200722-NJ-CHI-18,0:13,0:33,McCall RaNae Zerboni,NJ,Counter-attacks,1st half,62.1,18.1
20200722-NJ-CHI-19,0:13,0:33,McCall RaNae Zerboni,NJ,Picking-ups (in opp. half),1st half,62.1,18.1
20200722-NJ-CHI-21,0:17,0:37,Katie Johnson Carreon,CHI,Tackles (Successful actions),1st half,45.1,52.6
20200722-NJ-CHI-22,0:17,0:37,McCall RaNae Zerboni,NJ,Lost balls,1st half,59.9,15.4
20200722-NJ-CHI-23,0:17,0:37,McCall RaNae Zerboni,NJ,Challenges (lost),1st half,59.9,15.4
20200722-NJ-CHI-24,0:17,0:37,Katie Johnson Carreon,CHI,Counter-attacks,1st half,45.1,52.6
20200722-NJ-CHI-25,0:17,0:37,Katie Johnson Carreon,CHI,Challenges (won),1st half,45.1,52.6
20200722-NJ-CHI-26,0:19,0:39,Zoey Goralski,CHI,Positional attacks,1st half,37.8,65.0
20200722-NJ-CHI-27,0:19,0:39,Margaret Purce,NJ,Challenges (lost),1st half,67.2,3.0
20200722-NJ-CHI-28,0:19,0:39,Zoey Goralski,CHI,Challenges (won),1st half,37.8,65.0
20200722-NJ-CHI-29,0:20,0:40,Zoey Goralski,CHI,Passes accurate,1st half,37.1,65.3
20200722-NJ-CHI-30,0:20,0:40,Zoey Goralski,CHI,Positional attacks,1st half,37.1,65.3
20200722-NJ-CHI-31,0:21,0:41,Katie Johnson Carreon,CHI,Positional attacks,1st half,43.4,65.7
20200722-NJ-CHI-32,0:21,0:41,Katie Johnson Carreon,CHI,Passes accurate,1st half,43.4,65.7
20200722-NJ-CHI-33,0:22,0:42,Danielle Colaprico,CHI,Passes accurate,1st half,39.7,60.3
20200722-NJ-CHI-34,0:22,0:42,Danielle Colaprico,CHI,Positional attacks,1st half,39.7,60.3
20200722-NJ-CHI-35,0:24,0:44,Rachel Hill,CHI,Positional attacks,1st half,49.9,59.4
20200722-NJ-CHI-36,0:24,0:44,Rachel Hill,CHI,Passes accurate,1st half,49.9,59.4
20200722-NJ-CHI-37,0:25,0:45,Katie Johnson Carreon,CHI,Positional attacks,1st half,48.1,66.0
20200722-NJ-CHI-38,0:25,0:45,Katie Johnson Carreon,CHI,Positional attacks,1st half,48.1,64.9
20200722-NJ-CHI-39,0:25,0:45,Katie Johnson Carreon,CHI,Lost balls,1st half,57.9,33.6
20200722-NJ-CHI-40,0:25,0:45,Katie Johnson Carreon,CHI,Passes (inaccurate),1st half,48.1,64.9
20200722-NJ-CHI-41,0:28,0:48,Sabrina Flores,NJ,Positional attacks,1st half,47.1,34.4
20200722-NJ-CHI-42,0:28,0:48,Sabrina Flores,NJ,Picking-ups,1st half,47.1,34.4
20200722-NJ-CHI-43,0:30,0:50,Sabrina Flores,NJ,Positional attacks,1st half,49.7,35.0
20200722-NJ-CHI-44,0:30,0:50,Sabrina Flores,NJ,Passes accurate,1st half,49.7,35.0
20200722-NJ-CHI-45,0:31,0:51,Gina Loren Lewandowski,NJ,Passes accurate,1st half,42.8,23.7
20200722-NJ-CHI-46,0:31,0:51,Gina Loren Lewandowski,NJ,Positional attacks,1st half,42.8,23.7
20200722-NJ-CHI-47,0:32,0:52,Estelle Laura Johnson,NJ,Positional attacks,1st half,40.2,34.8
20200722-NJ-CHI-48,0:33,0:53,Estelle Laura Johnson,NJ,Passes accurate,1st half,41.4,33.2
20200722-NJ-CHI-49,0:33,0:53,Estelle Laura Johnson,NJ,Positional attacks,1st half,41.4,33.2
20200722-NJ-CHI-50,0:34,0:54,Sarah Christine Woldmoe,NJ,Positional attacks,1st half,47.6,23.2
20200722-NJ-CHI-51,0:36,0:56,Sarah Christine Woldmoe,NJ,Positional attacks,1st half,47.4,22.4
20200722-NJ-CHI-52,0:36,0:56,Sarah Christine Woldmoe,NJ,Passes accurate,1st half,47.4,22.4
20200722-NJ-CHI-53,0:37,0:57,Margaret Purce,NJ,Positional attacks,1st half,54.2,3.0
20200722-NJ-CHI-54,0:38,0:58,Margaret Purce,NJ,Passes accurate,1st half,53.4,3.0
20200722-NJ-CHI-55,0:38,0:58,Margaret Purce,NJ,Positional attacks,1st half,53.4,3.0
20200722-NJ-CHI-56,0:40,1:00,Gina Loren Lewandowski,NJ,Positional attacks,1st half,44.4,6.2
20200722-NJ-CHI-57,0:41,1:01,Gina Loren Lewandowski,NJ,Passes accurate,1st half,40.2,3.8
20200722-NJ-CHI-58,0:41,1:01,Gina Loren Lewandowski,NJ,Positional attacks,1st half,40.2,3.8
20200722-NJ-CHI-59,0:44,1:04,Kailen Mary Sheridan,NJ,Positional attacks,1st half,19.8,28.7
20200722-NJ-CHI-60,0:44,1:04,Kailen Mary Sheridan,NJ,Passes accurate,1st half,19.8,28.7
20200722-NJ-CHI-61,0:47,1:07,Estelle Laura Johnson,NJ,Positional attacks,1st half,28.3,41.9
20200722-NJ-CHI-62,0:49,1:09,Estelle Laura Johnson,NJ,Lost balls,1st half,68.3,68.0
20200722-NJ-CHI-63,0:49,1:09,Estelle Laura Johnson,NJ,Passes (inaccurate),1st half,39.3,45.2
20200722-NJ-CHI-64,0:49,1:09,Estelle Laura Johnson,NJ,Positional attacks,1st half,39.3,45.2
20200722-NJ-CHI-65,0:58,1:18,Bianca St. Georges,CHI,Passes accurate,1st half,35.9,0.0
20200722-NJ-CHI-66,0:59,1:19,Jennifer Cudjoe,NJ,Challenges (won),1st half,64.3,58.8
20200722-NJ-CHI-67,0:59,1:19,Vanessa Sue Di Bernardo,CHI,Lost balls,1st half,40.7,9.2
20200722-NJ-CHI-68,0:59,1:19,Jennifer Cudjoe,NJ,Tackles (Successful actions),1st half,64.3,58.8
20200722-NJ-CHI-69,0:59,1:19,Vanessa Sue Di Bernardo,CHI,Lost balls (in opp. half),1st half,40.7,9.2
20200722-NJ-CHI-70,0:59,1:19,Vanessa Sue Di Bernardo,CHI,Challenges (lost),1st half,40.7,9.2
20200722-NJ-CHI-71,1:00,1:20,Nahomi Kawasumi,NJ,Picking-ups (in opp. half),1st half,66.2,66.4
20200722-NJ-CHI-72,1:00,1:20,Nahomi Kawasumi,NJ,Positional attacks,1st half,66.2,66.4
20200722-NJ-CHI-73,1:00,1:20,Nahomi Kawasumi,NJ,Picking-ups,1st half,66.2,66.4
20200722-NJ-CHI-74,1:00,1:20,Nahomi Kawasumi,NJ,Positional attacks,1st half,66.2,66.4
20200722-NJ-CHI-75,1:00,1:20,Nahomi Kawasumi,NJ,Passes accurate,1st half,66.2,66.4
20200722-NJ-CHI-76,1:01,1:21,Ifeoma Chukwufumnay Onumonu,NJ,Positional attacks,1st half,72.6,51.5
