ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20200722-NJ-CHI-0,20200722-NJ-CHI-12,0:12,0:32,Danielle Colaprico,CHI,challenge,1st half,0,42.5,47.0
20200722-NJ-CHI-1,20200722-NJ-CHI-13,0:12,0:32,Danielle Colaprico,CHI,take_on,1st half,0,42.5,47.0
20200722-NJ-CHI-2,20200722-NJ-CHI-14,0:12,0:32,Paige Monaghan,NJ,tackle,1st half,1,62.5,21.0
20200722-NJ-CHI-3,20200722-NJ-CHI-15,0:12,0:32,Paige Monaghan,NJ,challenge,1st half,1,62.5,21.0
20200722-NJ-CHI-4,20200722-NJ-CHI-17,0:13,0:33,McCall RaNae Zerboni,NJ,recovery,1st half,null,62.1,18.1
20200722-NJ-CHI-5,20200722-NJ-CHI-21,0:17,0:37,Katie Johnson Carreon,CHI,tackle,1st half,1,45.1,52.6
20200722-NJ-CHI-6,20200722-NJ-CHI-23,0:17,0:37,McCall RaNae Zerboni,NJ,challenge,1st half,0,59.9,15.4
20200722-NJ-CHI-7,20200722-NJ-CHI-25,0:17,0:37,Katie Johnson Carreon,CHI,challenge,1st half,1,45.1,52.6
20200722-NJ-CHI-8,20200722-NJ-CHI-27,0:19,0:39,Margaret Purce,NJ,challenge,1st half,0,67.2,3.0
20200722-NJ-CHI-9,20200722-NJ-CHI-28,0:19,0:39,Zoey Goralski,CHI,challenge,1st half,1,37.8,65.0
20200722-NJ-CHI-10,20200722-NJ-CHI-42,0:28,0:48,Sabrina Flores,NJ,recovery,1st half,null,47.1,34.4
20200722-NJ-CHI-11,20200722-NJ-CHI-66,0:59,1:19,Jennifer Cudjoe,NJ,challenge,1st half,1,64.3,58.8
20200722-NJ-CHI-12,20200722-NJ-CHI-68,0:59,1:19,Jennifer Cudjoe,NJ,tackle,1st half,1,64.3,58.8
20200722-NJ-CHI-13,20200722-NJ-CHI-70,0:59,1:19,Vanessa Sue Di Bernardo,CHI,challenge,1st half,0,40.7,9.2
