ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross
20200722-NJ-CHI-0,20200722-NJ-CHI-1,0:05,0:25,Savannah McCaskill,CHI,1st half,52.6,33.9,1,Danielle Colaprico,46.0,40.4,0
20200722-NJ-CHI-1,20200722-NJ-CHI-4,0:07,0:27,Danielle Colaprico,CHI,1st half,45.8,41.2,1,Sarah Gorden,30.9,44.3,0
20200722-NJ-CHI-2,20200722-NJ-CHI-7,0:10,0:30,Sarah Gorden,CHI,1st half,31.2,44.0,1,Danielle Colaprico,42.3,45.8,0
20200722-NJ-CHI-3,20200722-NJ-CHI-29,0:20,0:40,Zoey Goralski,CHI,1st half,37.1,65.3,1,Katie Johnson Carreon,43.4,65.7,0
20200722-NJ-CHI-4,20200722-NJ-CHI-32,0:21,0:41,Katie Johnson Carreon,CHI,1st half,43.4,65.7,1,Danielle Colaprico,39.7,60.3,0
20200722-NJ-CHI-5,20200722-NJ-CHI-33,0:22,0:42,Danielle Colaprico,CHI,1st half,39.7,60.3,1,Rachel Hill,49.9,59.4,0
20200722-NJ-CHI-6,20200722-NJ-CHI-36,0:24,0:44,Rachel Hill,CHI,1st half,49.9,59.4,1,Katie Johnson Carreon,48.1,66.0,0
20200722-NJ-CHI-7,20200722-NJ-CHI-40,0:25,0:45,Katie Johnson Carreon,CHI,1st half,48.1,64.9,0,Sabrina Flores,57.9,33.6,0
20200722-NJ-CHI-8,20200722-NJ-CHI-44,0:30,0:50,Sabrina Flores,NJ,1st half,49.7,35.0,1,Gina Loren Lewandowski,42.8,23.7,0
20200722-NJ-CHI-9,20200722-NJ-CHI-45,0:31,0:51,Gina Loren Lewandowski,NJ,1st half,42.8,23.7,1,Estelle Laura Johnson,40.2,34.8,0
20200722-NJ-CHI-10,20200722-NJ-CHI-48,0:33,0:53,Estelle Laura Johnson,NJ,1st half,41.4,33.2,1,Sarah Christine Woldmoe,47.6,23.2,0
20200722-NJ-CHI-11,20200722-NJ-CHI-52,0:36,0:56,Sarah Christine Woldmoe,NJ,1st half,47.4,22.4,1,Margaret Purce,54.2,3.0,0
