ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,pos_x,pos_y,accuracy
20200722-NJ-CHI-0,20200722-NJ-CHI-139,2:34,2:54,Katie Johnson Carreon,CHI,1st half,104.4,27.6,post_crossbar
20200722-NJ-CHI-1,20200722-NJ-CHI-361,7:28,8:18,Bianca St. Georges,CHI,1st half,93.4,27.2,on_target
20200722-NJ-CHI-2,20200722-NJ-CHI-475,10:21,11:11,Rachel Hill,CHI,1st half,96.9,37.7,on_target
20200722-NJ-CHI-3,20200722-NJ-CHI-484,10:29,10:49,Kealia Mae Watt,CHI,1st half,96.7,25.3,blocked
20200722-NJ-CHI-4,20200722-NJ-CHI-932,20:54,21:14,Paige Monaghan,NJ,1st half,85.2,28.8,post_crossbar
20200722-NJ-CHI-5,20200722-NJ-CHI-1315,28:58,29:18,Paige Monaghan,NJ,1st half,93.3,20.1,wide
20200722-NJ-CHI-6,20200722-NJ-CHI-1544,38:15,38:35,Margaret Purce,NJ,1st half,89.7,36.0,wide
20200722-NJ-CHI-7,20200722-NJ-CHI-1757,43:03,43:23,McCall RaNae Zerboni,NJ,1st half,79.5,45.4,wide
20200722-NJ-CHI-8,20200722-NJ-CHI-1846,45:13,45:33,Paige Monaghan,NJ,1st half,96.0,30.5,blocked
20200722-NJ-CHI-9,20200722-NJ-CHI-1962,48:07,48:27,Erica Skroski,NJ,1st half,95.9,32.3,wide
20200722-NJ-CHI-10,20200722-NJ-CHI-2085,46:43,47:03,Rachel Hill,CHI,2nd half,91.8,28.8,blocked
20200722-NJ-CHI-11,20200722-NJ-CHI-2557,59:07,59:57,Savannah McCaskill,CHI,2nd half,97.6,30.2,on_target
20200722-NJ-CHI-12,20200722-NJ-CHI-2607,60:56,61:16,Sarah Christine Woldmoe,NJ,2nd half,83.6,32.1,wide
20200722-NJ-CHI-13,20200722-NJ-CHI-2687,62:46,63:06,Jennifer Cudjoe,NJ,2nd half,77.6,25.3,wide
20200722-NJ-CHI-14,20200722-NJ-CHI-2724,63:37,63:57,Rachel Hill,CHI,2nd half,90.9,40.6,on_target
20200722-NJ-CHI-15,20200722-NJ-CHI-2882,68:20,68:40,Ifeoma Chukwufumnay Onumonu,NJ,2nd half,98.1,35.1,wide
20200722-NJ-CHI-16,20200722-NJ-CHI-2944,70:50,71:40,Evelyne Viens,NJ,2nd half,102.6,35.1,on_target
