,start_time,end_time,player_ID,team,action,half,pos_x,pos_y
0,0:04,0:24,Vanessa Sue Di Bernardo,Chicago Red Stars,Positional attacks,1st half,52.7,33.8
1,0:04,0:24,Vanessa Sue Di Bernardo,Chicago Red Stars,Passes accurate,1st half,52.7,33.8
2,0:05,0:25,Danielle Colaprico,Chicago Red Stars,Positional attacks,1st half,40.5,34.2
3,0:06,0:26,Danielle Colaprico,Chicago Red Stars,Passes accurate,1st half,40.1,39.7
4,0:06,0:26,Danielle Colaprico,Chicago Red Stars,Positional attacks,1st half,40.1,39.7
5,0:08,0:28,Casey Short,Chicago Red Stars,Positional attacks,1st half,42.2,63.2
6,0:11,0:31,Casey Short,Chicago Red Stars,Positional attacks,1st half,43.3,65.6
7,0:11,0:31,Casey Short,Chicago Red Stars,Passes accurate,1st half,43.3,65.6
9,0:15,0:35,Yuki Ogimi-Nagasato,Chicago Red Stars,Lost balls,1st half,95.1,61.3
10,0:15,0:35,Yuki Ogimi-Nagasato,Chicago Red Stars,Positional attacks,1st half,95.1,61.3
11,0:15,0:35,Yuki Ogimi-Nagasato,Chicago Red Stars,Bad ball control,1st half,95.1,61.3
12,0:28,0:48,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,5.7,34.2
13,0:28,0:48,Stephanie Labbe,North Carolina Courage,Passes accurate,1st half,5.7,34.2
14,0:28,0:48,Stephanie Labbe,North Carolina Courage,Goal kicks,1st half,5.7,34.2
15,0:30,0:50,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,16.2,56.0
16,0:35,0:55,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,26.7,56.3
17,0:35,0:55,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,26.7,56.3
18,0:36,0:56,Samantha Mewis,North Carolina Courage,Positional attacks,1st half,25.8,36.2
19,0:40,1:00,Samantha Mewis,North Carolina Courage,Positional attacks,1st half,30.2,31.8
20,0:40,1:00,Samantha Mewis,North Carolina Courage,Passes accurate,1st half,30.2,31.8
21,0:42,1:02,Abby Dahlkemper,North Carolina Courage,Positional attacks,1st half,31.5,15.3
22,0:44,1:04,Abby Dahlkemper,North Carolina Courage,Passes accurate,1st half,35.5,14.4
23,0:44,1:04,Abby Dahlkemper,North Carolina Courage,Positional attacks,1st half,35.5,14.4
24,0:47,1:07,Jessica Marie McDonald,North Carolina Courage,Lost balls,1st half,75.4,13.2
25,0:47,1:07,Jessica Marie McDonald,North Carolina Courage,Positional attacks,1st half,67.2,7.9
26,0:47,1:07,Jessica Marie McDonald,North Carolina Courage,Passes (inaccurate),1st half,67.2,7.9
27,0:49,1:09,Kathleen Camille Naughton,Chicago Red Stars,Picking-ups,1st half,29.6,54.8
28,0:49,1:09,Kathleen Camille Naughton,Chicago Red Stars,Positional attacks,1st half,29.6,54.8
29,0:49,1:09,Kathleen Camille Naughton,Chicago Red Stars,Counter-attacks,1st half,29.6,54.8
