,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
0,27,0:49,1:09,Kathleen Camille Naughton,Chicago Red Stars,recovery,1st half,29.6,54.8,null
1,43,1:03,1:23,Denise O'Sullivan,North Carolina Courage,recovery,1st half,34.7,16.3,null
2,66,1:20,1:40,Denise O'Sullivan,North Carolina Courage,challenge,1st half,56.7,57.0,1
3,67,1:20,1:40,Samantha Kerr,Chicago Red Stars,challenge,1st half,48.3,11.0,0
4,91,1:39,1:59,Casey Short,Chicago Red Stars,dribble,1st half,27.7,67.0,1
5,100,1:45,2:05,Casey Short,Chicago Red Stars,dribble,1st half,61.1,65.1,1
6,108,1:53,2:13,Vanessa Sue Di Bernardo,Chicago Red Stars,recovery,1st half,79.4,31.4,null
7,111,1:54,2:14,Vanessa Sue Di Bernardo,Chicago Red Stars,take_on,1st half,83.2,28.7,1
8,112,1:54,2:14,Denise O'Sullivan,North Carolina Courage,tackle,1st half,21.8,39.3,0
9,114,1:54,2:14,Denise O'Sullivan,North Carolina Courage,challenge,1st half,21.8,39.3,0
10,116,1:56,2:16,Stephanie Labbe,North Carolina Courage,save,1st half,17.6,35.9,null
11,121,2:00,2:20,Heather Ann OReilly,North Carolina Courage,recovery,1st half,1.1,6.0,null
12,135,2:30,2:50,Heather Ann OReilly,North Carolina Courage,recovery,1st half,24.8,2.4,null
13,145,2:35,2:55,Crystal Alyssia Dunn,North Carolina Courage,recovery,1st half,33.0,8.1,null
14,163,3:10,3:30,Savannah McCaskill,Chicago Red Stars,Dribbles (Unsuccessful actions),1st half,87.6,6.5,null
15,165,3:10,3:30,Savannah McCaskill,Chicago Red Stars,challenge,1st half,87.6,6.5,0
16,166,3:10,3:30,Jaelene Mckenzie Daniels,North Carolina Courage,challenge,1st half,17.4,61.5,1
17,167,3:10,3:30,Jaelene Mckenzie Daniels,North Carolina Courage,tackle,1st half,17.4,61.5,1
18,179,3:19,3:39,Lynn Williams,North Carolina Courage,dribble,1st half,46.0,54.1,1
19,187,3:29,3:49,Debinha,North Carolina Courage,challenge,1st half,99.3,40.2,1
20,188,3:29,3:49,Sarah Gorden,Chicago Red Stars,challenge,1st half,5.7,27.8,0
21,194,3:31,3:51,Debinha,North Carolina Courage,recovery,1st half,100.6,33.5,null
22,208,4:53,5:13,Vanessa Sue Di Bernardo,Chicago Red Stars,recovery,1st half,60.7,53.4,null
23,220,5:22,5:42,Lynn Williams,North Carolina Courage,dribble,1st half,62.0,57.9,1
24,254,6:30,6:50,Danielle Colaprico,Chicago Red Stars,challenge,1st half,38.6,57.9,0
25,255,6:30,6:50,Crystal Alyssia Dunn,North Carolina Courage,challenge,1st half,66.4,10.1,1
26,291,7:40,8:00,Samantha Mewis,North Carolina Courage,challenge,1st half,96.4,23.0,1
27,292,7:40,8:00,Kathleen Camille Naughton,Chicago Red Stars,challenge,1st half,8.6,45.0,0
28,300,8:11,8:31,Savannah McCaskill,Chicago Red Stars,challenge,1st half,55.2,27.3,1
29,301,8:11,8:31,Denise O'Sullivan,North Carolina Courage,challenge,1st half,49.8,40.7,0
30,306,8:13,8:33,Samantha Mewis,North Carolina Courage,recovery,1st half,47.5,30.6,null
31,329,8:53,9:13,Jaelene Mckenzie Daniels,North Carolina Courage,recovery,1st half,8.8,63.2,null
32,334,9:00,9:20,Crystal Alyssia Dunn,North Carolina Courage,challenge,1st half,48.5,33.5,0
33,335,9:00,9:20,Casey Short,Chicago Red Stars,challenge,1st half,56.5,34.5,1
34,346,9:06,9:26,Heather Ann OReilly,North Carolina Courage,recovery,1st half,32.6,19.4,null
35,348,9:07,9:27,Crystal Alyssia Dunn,North Carolina Courage,challenge,1st half,37.8,27.8,0
36,349,9:07,9:27,Danielle Colaprico,Chicago Red Stars,challenge,1st half,67.2,40.2,1
