,raw_event_ID,start_time,end_time,player_ID,team,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross,cross_blocked
0,1,0:04,0:24,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,52.7,33.8,1,Danielle Colaprico,40.5,34.2,0,0
1,3,0:06,0:26,Danielle Colaprico,Chicago Red Stars,1st half,40.1,39.7,1,Casey Short,42.2,63.2,0,0
2,7,0:11,0:31,Casey Short,Chicago Red Stars,1st half,43.3,65.6,1,Yuki Ogimi-Nagasato,95.1,61.3,0,0
3,13,0:28,0:48,Stephanie Labbe,North Carolina Courage,1st half,5.7,34.2,1,Abby May Erceg,16.2,56.0,0,0
4,17,0:35,0:55,Abby May Erceg,North Carolina Courage,1st half,26.7,56.3,1,Samantha Mewis,25.8,36.2,0,0
5,20,0:40,1:00,Samantha Mewis,North Carolina Courage,1st half,30.2,31.8,1,Abby Dahlkemper,31.5,15.3,0,0
6,22,0:44,1:04,Abby Dahlkemper,North Carolina Courage,1st half,35.5,14.4,1,Jessica Marie McDonald,75.4,13.2,0,0
7,26,0:47,1:07,Jessica Marie McDonald,North Carolina Courage,1st half,67.2,7.9,0,Kathleen Camille Naughton,75.4,13.2,0,0
8,30,0:49,1:09,Kathleen Camille Naughton,Chicago Red Stars,1st half,29.6,54.8,1,Morgan Gautrat,35.1,56.7,0,0
9,33,0:51,1:11,Morgan Gautrat,Chicago Red Stars,1st half,29.4,54.1,1,Julie Beth Ertz,18.9,34.0,0,0
10,36,0:56,1:16,Julie Beth Ertz,Chicago Red Stars,1st half,23.7,35.0,1,Casey Short,39.9,63.9,0,0
11,38,0:58,1:18,Casey Short,Chicago Red Stars,1st half,39.9,63.9,1,Yuki Ogimi-Nagasato,55.4,65.1,0,0
12,41,1:00,1:20,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,56.7,64.4,0,Denise O'Sullivan,70.3,51.7,0,0
13,45,1:03,1:23,Denise O'Sullivan,North Carolina Courage,1st half,34.7,16.3,1,Abby Dahlkemper,30.9,10.5,0,0
14,48,1:06,1:26,Abby Dahlkemper,North Carolina Courage,1st half,35.3,9.3,1,Denise O'Sullivan,39.5,15.8,0,0
15,51,1:08,1:28,Denise O'Sullivan,North Carolina Courage,1st half,41.8,16.3,1,Samantha Mewis,47.7,13.4,0,0
16,54,1:09,1:29,Samantha Mewis,North Carolina Courage,1st half,47.7,13.4,1,Abby Dahlkemper,34.7,15.6,0,0
17,56,1:11,1:31,Abby Dahlkemper,North Carolina Courage,1st half,34.7,15.6,1,Abby May Erceg,29.6,42.9,0,0
18,59,1:16,1:36,Abby May Erceg,North Carolina Courage,1st half,40.5,53.6,1,Jaelene Mckenzie Daniels,49.8,63.5,0,0
19,61,1:18,1:38,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,47.7,62.7,0,Samantha Kerr,57.5,51.0,0,0
20,68,1:21,1:41,Denise O'Sullivan,North Carolina Courage,1st half,50.6,57.0,1,Abby May Erceg,36.5,56.5,0,0
21,72,1:24,1:44,Abby May Erceg,North Carolina Courage,1st half,32.8,52.0,1,Abby Dahlkemper,35.5,31.6,0,0
22,74,1:27,1:47,Abby Dahlkemper,North Carolina Courage,1st half,39.5,24.9,1,Heather Ann OReilly,64.9,1.7,0,0
23,79,1:32,1:52,Heather Ann OReilly,North Carolina Courage,1st half,67.8,1.7,0,Casey Short,79.0,2.9,0,0
24,83,1:34,1:54,Casey Short,Chicago Red Stars,1st half,26.0,65.1,1,Yuki Ogimi-Nagasato,37.2,65.8,0,0
25,86,1:35,1:55,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,37.2,65.8,1,Morgan Gautrat,28.8,57.5,0,0
26,89,1:38,1:58,Morgan Gautrat,Chicago Red Stars,1st half,29.0,62.0,1,Casey Short,27.7,67.0,0,0
27,94,1:42,2:02,Casey Short,Chicago Red Stars,1st half,41.0,66.1,1,Yuki Ogimi-Nagasato,44.9,67.0,0,0
28,96,1:43,2:03,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,45.6,65.4,1,Casey Short,61.1,65.1,0,0
29,102,1:49,2:09,Casey Short,Chicago Red Stars,1st half,82.9,63.2,0,Abby May Erceg,93.0,35.4,1,0
30,123,2:05,2:25,Heather Ann OReilly,North Carolina Courage,1st half,2.1,4.1,0,Casey Short,31.9,0.0,0,0
31,126,2:24,2:44,Casey Short,Chicago Red Stars,1st half,73.1,68.0,1,Yuki Ogimi-Nagasato,79.8,63.9,0,0
32,130,2:27,2:47,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,76.7,63.5,0,Crystal Alyssia Dunn,71.4,64.6,0,0
33,136,2:30,2:50,Heather Ann OReilly,North Carolina Courage,1st half,24.8,2.4,1,Abby Dahlkemper,10.3,8.1,0,0
34,138,2:32,2:52,Abby Dahlkemper,North Carolina Courage,1st half,10.3,8.1,0,Kathleen Camille Naughton,42.4,7.9,0,0
35,142,2:33,2:53,Kathleen Camille Naughton,Chicago Red Stars,1st half,62.6,60.1,0,Crystal Alyssia Dunn,72.0,59.9,0,0
36,147,2:37,2:57,Crystal Alyssia Dunn,North Carolina Courage,1st half,37.2,6.5,0,Casey Short,59.6,0.0,0,0
37,151,2:55,3:15,Casey Short,Chicago Red Stars,1st half,45.4,68.0,1,Yuki Ogimi-Nagasato,57.3,66.3,0,0
38,153,2:59,3:19,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,56.9,60.3,1,Vanessa Sue Di Bernardo,50.6,54.6,0,0
39,157,3:01,3:21,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,45.4,54.8,1,Sarah Gorden,47.7,16.0,0,0
40,160,3:05,3:25,Sarah Gorden,Chicago Red Stars,1st half,58.8,16.5,1,Savannah McCaskill,80.2,15.8,0,0
41,168,3:11,3:31,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,14.5,59.4,1,Jessica Marie McDonald,94.5,9.1,0,0
42,170,3:13,4:03,Jessica Marie McDonald,North Carolina Courage,1st half,94.5,9.1,1,Debinha,100.6,33.5,0,0
43,172,3:13,3:33,Denise O'Sullivan,North Carolina Courage,1st half,14.1,49.3,1,Debinha,34.2,61.8,0,0
44,173,3:16,3:36,Debinha,North Carolina Courage,1st half,34.2,61.8,1,Lynn Williams,46.0,54.1,0,0
45,180,3:25,3:45,Lynn Williams,North Carolina Courage,1st half,77.3,33.3,1,Jessica Marie McDonald,94.5,9.1,0,0
46,199,4:32,4:52,Morgan Gautrat,Chicago Red Stars,1st half,45.6,19.6,0,Jaelene Mckenzie Daniels,68.9,0.0,0,0
47,201,4:39,4:59,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,36.1,68.0,1,Stephanie Labbe,18.1,35.2,0,0
48,202,4:46,5:06,Stephanie Labbe,North Carolina Courage,1st half,18.1,35.2,1,Abby Dahlkemper,40.5,11.5,0,0
49,203,4:52,5:12,Abby Dahlkemper,North Carolina Courage,1st half,40.5,11.5,1,Crystal Alyssia Dunn,44.3,14.6,0,0
50,205,4:52,5:12,Crystal Alyssia Dunn,North Carolina Courage,1st half,48.7,10.8,0,Vanessa Sue Di Bernardo,44.3,14.6,0,0
51,209,4:55,5:15,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,57.5,49.6,0,Jaelene Mckenzie Daniels,54.2,2.4,0,0
52,213,5:16,5:36,Sarah Gorden,Chicago Red Stars,1st half,56.1,0.0,0,Jaelene Mckenzie Daniels,72.0,8.4,0,0
53,216,5:18,5:38,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,33.0,59.6,1,Samantha Mewis,37.4,49.1,0,0
54,219,5:20,5:40,Samantha Mewis,North Carolina Courage,1st half,37.4,49.1,1,Lynn Williams,62.0,57.9,0,0
55,223,5:24,5:44,Lynn Williams,North Carolina Courage,1st half,72.4,45.3,1,Jessica Marie McDonald,80.4,50.0,0,0
56,225,5:29,5:49,Jessica Marie McDonald,North Carolina Courage,1st half,83.4,47.2,1,Crystal Alyssia Dunn,81.5,34.0,0,0
57,231,5:32,5:52,Crystal Alyssia Dunn,North Carolina Courage,1st half,79.8,35.2,0,Alyssa Naeher,92.0,47.4,0,0
58,237,5:57,6:17,Alyssa Naeher,Chicago Red Stars,1st half,13.0,20.6,1,Casey Short,40.3,61.3,0,0
59,239,5:59,6:19,Casey Short,Chicago Red Stars,1st half,40.3,61.3,0,Abby Dahlkemper,71.4,62.0,0,0
60,242,6:05,6:25,Abby Dahlkemper,North Carolina Courage,1st half,25.6,5.0,1,Stephanie Labbe,8.4,18.9,0,0
61,243,6:07,6:27,Stephanie Labbe,North Carolina Courage,1st half,8.4,18.9,1,Jessica Marie McDonald,35.3,6.9,0,0
62,244,6:12,6:32,Jessica Marie McDonald,North Carolina Courage,1st half,35.3,6.9,1,Samantha Mewis,66.4,0.0,0,0
63,246,6:14,6:34,Samantha Mewis,North Carolina Courage,1st half,31.5,13.9,0,Kathleen Camille Naughton,77.7,0.0,0,0
64,247,6:23,6:43,Kathleen Camille Naughton,Chicago Red Stars,1st half,27.3,68.0,1,Alyssa Naeher,6.9,55.8,0,0
65,248,6:26,6:46,Alyssa Naeher,Chicago Red Stars,1st half,6.9,55.8,1,Kathleen Camille Naughton,28.8,63.2,0,0
66,249,6:28,6:48,Kathleen Camille Naughton,Chicago Red Stars,1st half,28.8,63.2,1,Casey Short,40.3,64.6,0,0
67,250,6:30,6:50,Casey Short,Chicago Red Stars,1st half,40.3,64.6,1,Danielle Colaprico,38.6,57.9,0,0
68,253,6:30,6:50,Crystal Alyssia Dunn,North Carolina Courage,1st half,66.4,10.1,1,Heather Ann OReilly,60.3,2.4,0,0
69,258,6:34,6:54,Heather Ann OReilly,North Carolina Courage,1st half,59.4,6.5,1,Samantha Mewis,47.2,15.1,0,0
70,261,6:36,6:56,Samantha Mewis,North Carolina Courage,1st half,47.2,15.1,1,Abby May Erceg,37.4,47.6,0,0
71,263,6:39,6:59,Abby May Erceg,North Carolina Courage,1st half,41.2,54.1,1,Jaelene Mckenzie Daniels,50.4,63.2,0,0
72,267,6:42,7:02,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,48.9,63.5,0,Savannah McCaskill,58.4,63.0,0,0
73,270,6:57,7:17,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,56.9,68.0,1,Abby May Erceg,42.4,59.9,0,0
74,274,7:00,7:20,Abby May Erceg,North Carolina Courage,1st half,38.6,57.0,1,Abby Dahlkemper,41.6,20.4,0,0
75,278,7:06,7:26,Abby Dahlkemper,North Carolina Courage,1st half,51.0,13.6,0,Kathleen Camille Naughton,78.3,13.2,0,0
76,280,7:08,7:28,Kathleen Camille Naughton,Chicago Red Stars,1st half,26.7,54.8,1,Danielle Colaprico,25.6,68.0,0,0
77,284,7:10,7:30,Danielle Colaprico,Chicago Red Stars,1st half,28.4,55.3,0,Jessica Marie McDonald,25.2,68.0,0,0
78,285,7:38,7:58,Jessica Marie McDonald,North Carolina Courage,1st half,79.8,0.0,1,Samantha Mewis,96.4,23.0,0,0
79,297,8:08,8:28,Alyssa Naeher,Chicago Red Stars,1st half,5.2,31.6,1,Savannah McCaskill,55.2,27.3,0,0
80,307,8:13,8:33,Samantha Mewis,North Carolina Courage,1st half,47.5,30.6,0,Sarah Gorden,34.2,68.0,0,0
81,311,8:36,8:56,Sarah Gorden,Chicago Red Stars,1st half,70.8,0.0,1,Savannah McCaskill,75.6,5.0,0,0
82,313,8:38,8:58,Savannah McCaskill,Chicago Red Stars,1st half,72.4,5.3,1,Morgan Gautrat,69.9,13.2,0,0
83,317,8:40,9:00,Morgan Gautrat,Chicago Red Stars,1st half,67.6,12.5,1,Julie Beth Ertz,49.3,11.3,0,0
84,320,8:42,9:02,Julie Beth Ertz,Chicago Red Stars,1st half,51.9,12.0,1,Casey Short,59.2,52.4,0,0
85,322,8:47,9:07,Casey Short,Chicago Red Stars,1st half,64.7,53.4,0,Abby May Erceg,93.0,28.7,0,0
86,328,8:53,9:13,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,8.8,63.2,1,Debinha,28.3,59.9,0,0
87,330,8:56,9:16,Debinha,North Carolina Courage,1st half,28.3,59.9,1,Denise O'Sullivan,32.6,47.2,0,0
88,331,8:59,9:19,Denise O'Sullivan,North Carolina Courage,1st half,32.6,47.2,1,Crystal Alyssia Dunn,48.5,33.5,0,0
89,332,9:00,9:20,Casey Short,Chicago Red Stars,1st half,56.5,34.5,1,Vanessa Sue Di Bernardo,68.7,29.2,0,0
90,338,9:02,9:22,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,68.7,29.2,1,Samantha Kerr,77.5,30.9,0,0
91,342,9:03,9:23,Samantha Kerr,Chicago Red Stars,1st half,78.8,35.2,0,Heather Ann OReilly,72.4,48.6,0,0
92,344,9:06,9:26,Heather Ann OReilly,North Carolina Courage,1st half,32.6,19.4,1,Crystal Alyssia Dunn,37.8,27.8,0,0
93,352,9:09,9:29,Danielle Colaprico,Chicago Red Stars,1st half,70.8,45.3,1,Yuki Ogimi-Nagasato,78.5,55.5,0,0
94,358,9:12,9:32,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,85.7,60.8,1,Samantha Kerr,93.7,31.4,1,0
95,365,9:14,9:34,Abby Dahlkemper,North Carolina Courage,1st half,8.0,32.3,1,Denise O'Sullivan,12.4,41.4,0,0
96,367,9:17,9:37,Denise O'Sullivan,North Carolina Courage,1st half,12.4,41.4,1,Jaelene Mckenzie Daniels,13.4,58.7,0,0
97,368,9:20,9:40,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,13.4,58.7,1,Lynn Williams,44.5,58.4,0,0
98,378,9:28,9:48,Morgan Gautrat,Chicago Red Stars,1st half,67.2,29.2,1,Danielle Colaprico,59.0,34.2,0,0
99,381,9:31,9:51,Danielle Colaprico,Chicago Red Stars,1st half,56.1,35.2,1,Julie Beth Ertz,47.2,25.4,0,0
100,384,9:33,9:53,Julie Beth Ertz,Chicago Red Stars,1st half,47.5,24.9,1,Casey Short,62.4,57.2,0,0
101,389,9:50,10:10,Heather Ann OReilly,North Carolina Courage,1st half,35.9,0.0,1,Abby Dahlkemper,26.9,10.3,0,0
102,391,9:50,10:10,Abby Dahlkemper,North Carolina Courage,1st half,26.9,10.3,1,Abby May Erceg,28.1,35.4,0,0
103,394,9:54,10:14,Abby May Erceg,North Carolina Courage,1st half,30.9,40.7,1,Denise O'Sullivan,38.2,59.4,0,0
104,398,9:56,10:16,Denise O'Sullivan,North Carolina Courage,1st half,41.2,61.5,1,Jaelene Mckenzie Daniels,58.8,65.4,0,0
105,400,9:58,10:18,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,58.8,65.4,1,Debinha,64.5,56.5,0,0
106,403,10:00,10:20,Debinha,North Carolina Courage,1st half,68.7,62.5,1,Jaelene Mckenzie Daniels,80.0,59.1,0,0
