,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,accuracy
0,115,1:56,2:16,Vanessa Sue Di Bernardo,Chicago Red Stars,Shots,1st half,87.4,32.1,on_target
1,191,3:30,3:50,Debinha,North Carolina Courage,Shots,1st half,100.0,39.0,blocked
2,485,12:02,12:22,Lynn Williams,North Carolina Courage,Shots,1st half,97.2,36.6,blocked
3,518,13:02,13:22,Jessica Marie McDonald,North Carolina Courage,Shots,1st half,95.3,22.7,blocked
4,538,13:07,13:27,Crystal Alyssia Dunn,North Carolina Courage,Shots,1st half,94.7,29.2,blocked
5,572,13:47,14:07,Lynn Williams,North Carolina Courage,Shots,1st half,81.7,23.9,wide
6,819,19:22,19:42,Samantha Kerr,Chicago Red Stars,Shots,1st half,93.0,46.2,on_target
7,978,21:49,22:09,Debinha,North Carolina Courage,Shots,1st half,88.2,22.7,blocked
8,1033,22:46,23:06,Lynn Williams,North Carolina Courage,Shots,1st half,102.7,30.4,blocked
9,1044,23:22,23:42,Jaelene Mckenzie Daniels,North Carolina Courage,Shots,1st half,78.1,22.0,on_target
10,1448,34:25,34:45,Debinha,North Carolina Courage,Shots,1st half,79.4,35.2,on_target
11,1476,34:53,35:13,Samantha Kerr,Chicago Red Stars,Shots,1st half,82.3,39.7,wide
12,1599,37:15,37:35,Savannah McCaskill,Chicago Red Stars,Shots,1st half,76.4,31.6,blocked
13,2018,48:04,48:24,Morgan Gautrat,Chicago Red Stars,Shots,1st half,80.0,41.2,wide
14,2076,49:19,49:39,Crystal Alyssia Dunn,North Carolina Courage,Shots,1st half,97.9,31.1,on_target
15,2109,50:37,50:57,Vanessa Sue Di Bernardo,Chicago Red Stars,Shots,1st half,90.9,33.0,blocked
16,2322,49:04,49:24,Lynn Williams,North Carolina Courage,Shots,2nd half,97.9,32.1,blocked
17,2451,53:30,53:50,Samantha Kerr,Chicago Red Stars,Shots,2nd half,97.2,21.1,blocked
18,2457,53:31,53:51,Katie Johnson Carreon,Chicago Red Stars,Shots,2nd half,94.5,29.9,blocked
19,2524,54:58,55:18,Samantha Kerr,Chicago Red Stars,Shots,2nd half,102.3,31.8,wide
20,2680,58:56,59:16,Debinha,North Carolina Courage,Shots,2nd half,91.3,20.4,wide
21,2762,62:01,62:21,Yuki Ogimi-Nagasato,Chicago Red Stars,Shots,2nd half,100.0,48.6,blocked
22,2990,69:19,69:39,Heather Ann OReilly,North Carolina Courage,Shots,2nd half,80.0,45.3,blocked
23,3005,70:01,70:21,Jaelene Mckenzie Daniels,North Carolina Courage,Shots,2nd half,80.8,39.5,blocked
24,3236,76:05,76:25,Lynn Williams,North Carolina Courage,Shots,2nd half,94.1,46.7,on_target
25,3250,76:09,76:29,Lynn Williams,North Carolina Courage,Shots,2nd half,93.0,44.1,blocked
26,3258,77:26,77:46,Samantha Mewis,North Carolina Courage,Shots,2nd half,97.9,29.5,wide
27,3566,86:02,86:22,Samantha Kerr,Chicago Red Stars,Shots,2nd half,98.3,22.7,wide
28,3624,87:15,87:35,Yuki Ogimi-Nagasato,Chicago Red Stars,Shots,2nd half,79.4,31.8,blocked
29,3658,87:55,88:15,Casey Short,Chicago Red Stars,Shots,2nd half,95.6,43.3,post_crossbar
