ID,common_name,instat_name
1,Lindsay Agnew,
2,Andressinha,
3,Morgan Andrews,Morgan Andrews
4,Mackenzie Arnold,
5,Dorian Bailey,
6,Bethany Balcer,
7,Elizabeth Ball,
8,Lauren Barnes,Lauren Kate Barnes
9,Nicole Barnhart,
10,Jorian Baucom,
11,Nicole Baxter,
12,McKenzie Berryhill,
13,Michelle Betos,
14,Aubrey Bledsoe,
15,Verónica Boquete,
16,Celeste Boureille,Celeste Anais Boureille
17,Katie Bowen,
18,Emily Boyd,
19,Joanna Boyles,
20,Elizabeth Brandon,
21,Amber Brooks,
22,Dagný Brynjarsdóttir,
23,Lainey Burdett,
24,Kori Butterfield,
25,Katy Byrne,
26,Ariana Calderón,
27,Bridget Callahan,
28,Camila,
29,Jane Campbell,
30,Ellie Carpenter,Ellie Madison Carpenter
31,Steph Catley,Stephanie-Elise Catley
32,Allysha Chapman,
33,Simone Charley,
34,Danielle Colaprico,Danielle Colaprico
35,Taylor Comeau,
36,Rachel Corsie,
37,Meghan Cox,
38,Stephanie Cox,
39,Ana-Maria Crnogorčević,Ana Maria Crnogorcevic
40,Megan Crosson,
41,Grace Cutler,
42,Abby Dahlkemper,Abby Dahlkemper
43,Kiersten Dallstream,
44,Rachel Daly,
45,Tierna Davidson,
46,Hannah Davison,
47,Debinha,Debinha
48,Schuyler DeBree,
49,Vanessa DiBernardo,Vanessa Sue Di Bernardo
50,Jordan DiBiasi,
51,Makenzy Doniak,Makenzy Doniak
52,Imani Dorsey,Imani Michelle Dorsey
53,Meggie Dougherty Howard,
54,Crystal Dunn,Crystal Alyssia Dunn
55,Caprice Dydasco,
56,Britt Eckerstrom,
57,Elizabeth Eddy,Elizabeth Hunt Eddy
58,Kristen Edmonds,
59,Emily van Egmond,
60,Brooke Elby,Brooke Elby
61,Abby Elinsky,
62,Maddie Elliston,
63,Claire Emslie,
64,Abby Erceg,Abby May Erceg
65,Julie Ertz,Julie Beth Ertz
66,Danica Evans,
67,Marissa Everett,
68,Cali Farquharson,
